OID@,OBJECTID,SHAPE,UniqueID,DataSourceID,DataQualityBottom,UnitsPresent,SimpleUnit,MUEBase
26,26,"(670515.3838, 3704569.2465000004)",30-025-23376,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2686.0
27,27,"(628746.7668000003, 3685246.2831999995)",30-025-23682,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3522.0
28,28,"(674459.3503, 3711892.0336000007)",30-025-24337,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2632.0
29,29,"(659150.2549999999, 3691330.647)",30-025-27636,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2782.0
30,30,"(660653.4220000003, 3679791.3519)",30-025-29496,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2837.0
31,31,"(663395.2476000004, 3700528.1494999994)",30-025-30178,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2728.0
32,32,"(626717.4165000003, 3711411.395300001)",30-025-34240,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3557.0
33,33,"(647616.3733000001, 3707422.3871)",30-025-01812,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2968.0
34,34,"(680141.2706000004, 3730510.9483000003)",30-041-00171,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2847.0
35,35,"(668711.5018999996, 3718224.3084999993)",30-041-00186,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2840.0
36,36,"(638478.1272999998, 3716897.3828999996)",30-041-00247,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3159.0
37,37,"(662859.7111, 3730197.2783000004)",30-041-10162,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2930.0
38,38,"(644012.3359000003, 3730284.887700001)",30-041-10188,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3171.0
39,39,"(649144.4622, 3717198.0813999996)",30-041-10202,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2980.0
40,40,"(642890.6201, 3725041.8705)",30-041-10422,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3091.0
41,41,"(649520.1808000002, 3736438.669500001)",30-041-10599,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3218.0
42,42,"(671321.8164999997, 3723811.9581000004)",30-041-10631,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2942.0
43,43,"(625782.1243000003, 3733923.124399999)",30-041-20057,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3359.0
44,44,"(626268.0804000003, 3725481.9715)",30-041-20215,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3441.0
45,45,"(638268.1270000003, 3735865.1371)",30-041-20218,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3348.0
46,46,"(644278.5278000003, 3737560.4438000005)",30-041-20271,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3179.0
47,47,"(680586.4324000003, 3721721.1033999994)",30-041-20467,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2654.0
48,48,"(621773.9034000002, 3734660.0489000008)",30-041-20028,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3551.0
49,49,"(655365.4183, 3723227.794399999)",30-041-10452,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2962.0
50,50,"(674265.6435000002, 3722343.5867)",30-041-00218,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2817.0
51,51,"(658889.6018000003, 3727319.6436)",30-041-20067,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3016.0
52,52,"(676014.4261999996, 3690039.01)",30-025-07110,OFR497,No known issues,Lower Chinle,UDockum,2782.0
53,53,"(661411.3136, 3723318.1547999997)",30-041-20147,OFR487,No known issues,Lower Chinle,UDockum,2928.0
54,54,"(676777.3792000003, 3718347.5393000003)",30-041-00091,OFR487,No known issues,Lower Chinle,UDockum,2685.0
55,55,"(678854.7761000004, 3714775.1137000006)",30-025-07052,OFR487,No known issues,Lower Chinle,UDockum,2626.0
56,56,"(622320.8938999996, 3704148.7379)",30-025-00011,OFR487,No known issues,Lower Chinle,UDockum,3663.0
57,57,"(678666.9543000003, 3704764.4518)",30-025-07091,OFR487,No known issues,Lower Chinle,UDockum,2583.0
58,58,"(679167.125, 3699551.0939000007)",30-025-07093,OFR487,No known issues,Lower Chinle,UDockum,2609.0
59,59,"(649673.2822000002, 3684759.8718)",30-025-20683,OFR487,No known issues,Lower Chinle,UDockum,3016.0
60,60,"(619933.0082999999, 3674967.8246999998)",30-025-20737,SalineSE,No known issues,Lower Chinle,UDockum,3797.0
61,61,"(611221.8039999995, 3676523.663899999)",30-005-20978,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3930.0
62,62,"(630898.2394000003, 3674824.3363000005)",30-025-28482,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3531.0
63,63,"(654887.0809000004, 3675861.587099999)",30-025-40161,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3004.0
64,64,"(678549.7111999998, 3648000.6915000007)",30-025-20486,SalineSE,No known issues,Lower Chinle,UDockum,2928.0
65,65,"(650537.7583999997, 3649609.7244000006)",30-025-30879,OFR497,No known issues,Lower Chinle,UDockum,3281.0
66,66,"(681299.9381999997, 3656457.7367000002)",42-501-32492,BRACS_BEG_Paper/Digital_Geophysical_Logs,No known issues,Lower Chinle,UDockum,2834.0
67,67,"(681074.8031000001, 3668518.9332)",42-501-33538,BRACS_BEG_Paper/Digital_Geophysical_Logs,No known issues,Lower Chinle,UDockum,2728.0
68,68,"(682044.2351000002, 3640913.6258000005)",42-165-31686,BRACS_RRC_GAU_Q_Paper/Digital_Geophysical_Logs,No known issues,Lower Chinle,UDockum,2931.0
69,69,"(605456.8284999998, 3653412.5766000003)",30-005-00500,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,4180.0
70,70,"(609245.9894000003, 3665135.7873)",30-005-01016,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,4002.0
71,71,"(605790.9768000003, 3644959.4689000007)",30-015-04832,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,4088.0
72,72,"(619441.3339, 3646734.3791000005)",30-025-00361,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3956.0
73,73,"(618768.9857000001, 3636683.0976)",30-025-00441,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3927.0
74,74,"(658050.2454000004, 3654699.7949)",30-025-03686,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3076.0
75,75,"(676536.8108000001, 3662646.3330000006)",30-025-07249,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2845.0
76,76,"(673217.2975000003, 3623380.8867000006)",30-025-07395,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2790.0
77,77,"(635248.5394000001, 3627159.8729)",30-025-20678,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3661.0
78,78,"(654773.6204000004, 3665114.9669000003)",30-025-21398,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3085.0
79,79,"(622606.9425999997, 3628787.6631000005)",30-025-21636,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3799.0
80,80,"(631947.9627999999, 3636062.024)",30-025-22729,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3722.0
81,81,"(637618.7478, 3653518.9449000005)",30-025-22926,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3416.0
82,82,"(654182.7800000003, 3637625.5537)",30-025-25120,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3312.0
83,83,"(621343.8349000001, 3667443.534)",30-025-25128,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3771.0
84,84,"(665592.6529000001, 3666391.1865)",30-025-25610,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2941.0
85,85,"(641545.8404000001, 3642276.1104000006)",30-025-26694,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3439.0
86,86,"(667012.9490999999, 3633867.236300001)",30-025-27552,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2982.0
87,87,"(651185.0475000003, 3623162.2206999995)",30-025-28071,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3192.0
88,88,"(645141.4205999998, 3618113.4115999993)",30-025-28300,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3394.0
89,89,"(627922.1009999998, 3644858.318499999)",30-025-28648,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3630.0
90,90,"(630471.3186999997, 3666458.2569999993)",30-025-29166,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3519.0
91,91,"(633442.0926999999, 3620795.8071999997)",30-025-29281,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3712.0
92,92,"(667338.6853, 3643747.2467)",30-025-29788,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2968.0
93,93,"(671541.5766000003, 3653242.4200999998)",30-025-38955,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2896.0
94,94,"(615293.7525000004, 3656139.1634)",30-025-39924,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3940.0
95,95,"(643129.3015999999, 3661720.3013000004)",30-025-28530,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3322.0
96,96,"(642348.1798, 3631604.6349)",30-025-27318,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3541.0
97,97,"(628713.0406, 3657104.0095000006)",30-025-28244,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3624.0
98,98,"(625164.3597999997, 3626437.5869999994)",30-025-36870,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3719.0
99,99,"(616049.7142000003, 3671414.941299999)",30-025-00293,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3837.0
100,100,"(665660.0094999997, 3666465.0317)",30-025-05108,OFR487,No known issues,Lower Chinle,UDockum,2943.0
101,101,"(656896.0306000002, 3613859.2229999993)",30-025-04039,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3162.0
102,102,"(636750.9954000004, 3615160.5484999996)",30-025-21286,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3700.0
103,103,"(680553.9424999999, 3617830.2137)",30-025-25993,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2832.0
104,104,"(606742.0278000003, 3673143.7611999996)",30-005-20420,BRACS_INTERA_High_Plains_GAM_study,No known issues,Upper Ochoan,LDockum,4018.0
105,105,"(646103.5083999997, 3632624.2763)",30-025-02856,SalineSE,No known issues,"Dewey Lake,Rustler",LDockum,3471.0
106,106,"(627302.0999999996, 3631931.9428000003)",30-025-01515,SalineSE,No known issues,"Dewey Lake,Rustler",LDockum,3731.0
107,107,"(616553.0791999996, 3622141.5338000003)",30-025-00867,SalineSE,No known issues,"Rustler,Upper Ochoan",LDockum,3915.0
108,108,"(660164.2588, 3613392.4582)",30-025-05640,SalineSE,No known issues,"Dewey Lake,Rustler",LDockum,3080.0
109,109,"(670994.6458, 3612476.7179000005)",30-025-07717,BRACS_NM_EMNRD_Geophysical_Logs,No known issues,Lower Chinle,UDockum,3015.0
110,110,"(645230.2840999998, 3612895.6349)",30-025-03185,BRACS_NM_EMNRD_Geophysical_Logs,No known issues,Lower Chinle,UDockum,3429.0
111,111,"(665647.4220000003, 3612680.9574999996)",30-025-09886,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3098.0
112,112,"(652141.2197000002, 3609632.714299999)",30-025-26866,OFR497,No known issues,Lower Chinle,UDockum,3299.0
113,113,"(648925.1640999997, 3606458.0818000007)",30-025-27494,OFR497,No known issues,Lower Chinle,UDockum,3309.0
114,114,"(665158.7424999997, 3600690.7135000005)",BRACS_ID-2834,BRACS_NM_EMNRD_Geophysical_Logs,No known issues,Lower Chinle,UDockum,3047.0
115,115,"(659454.6529000001, 3604236.9448000006)",30-025-04308,BRACS_NM_EMNRD_Geophysical_Logs,No known issues,Lower Chinle,UDockum,3092.0
116,116,"(657085.8464000002, 3600969.8266000003)",30-025-04405,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3032.0
117,117,"(681278.7423999999, 3596285.8795)",30-025-07897,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2849.0
118,118,"(681562.9804999996, 3606214.3867000006)",30-025-27757,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2841.0
119,119,"(669680.0170999998, 3603389.7193)",30-025-34127,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2967.0
120,120,"(659862.5006999997, 3609484.8257999998)",30-025-05780,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3114.0
121,121,"(673552.1270000003, 3604436.3024000004)",30-025-07838,OFR497,No known issues,Lower Chinle,UDockum,2916.0
122,122,"(621756.1338999998, 3740632.5143999998)",30-041-20304,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3568.0
123,123,"(678779.9700999996, 3738564.7980000004)",30-041-20455,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2853.0
124,124,"(643830.2204, 3741175.496099999)",30-041-10659,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3266.0
125,125,"(592173.4225000003, 3710248.8885999992)",LChinle_ManualControl_June2019,Cikoski_500kMapInterp,,,UDockum,
126,126,"(677212.1628, 3592871.0020000003)",30-025-23219,BRACS_NM_EMNRD_Geophysical_Logs,No known issues,Lower Chinle,UDockum,2828.0
127,127,"(681671.3735999996, 3592957.7590999994)",30-025-22403,SalineSE,No known issues,"Dewey Lake,Rustler",LDockum,2767.0
128,128,"(637281.6719000004, 3743454.7926000003)",30-041-20457,SalineSE,No known issues,Lower Chinle,UDockum,3370.0
129,129,"(683435.9930999996, 3712721.082800001)",42-079-02226,BRACS_BEG_Paper/Digital_Geophysical_Logs,No known issues,Lower Chinle,UDockum,2570.0
130,130,"(682462.6474000001, 3698897.7152999993)",42-079-00983,BRACS_RRC_GAU_Q_Paper/Digital_Geophysical_Logs,No known issues,Lower Chinle,UDockum,2622.0
131,131,"(672683.8063000003, 3742062.7216999996)",30-041-10239,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2890.0
132,132,"(662244.4451000001, 3742688.5862000007)",30-041-10418,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3079.0
133,133,"(653453.2640000004, 3741786.6686000004)",30-041-20030,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3225.0
134,134,"(617091.2275, 3744212.9836999997)",30-041-20338,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3635.0
135,135,"(629399.5465000002, 3742808.2881000005)",30-041-20622,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3460.0
136,136,"(644426.1434000004, 3743565.649599999)",30-041-20940,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3264.0
137,137,"(685325.0016999999, 3611639.0415000003)",42-165-01242,BRACS_BEG_Paper/Digital_Geophysical_Logs,No known issues,Lower Chinle,UDockum,2783.0
138,138,"(682661.0025000004, 3601146.9025999997)",42-165-02383,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2805.0
139,139,"(686622.5188999996, 3604828.7883)",42-165-03282,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2776.0
140,140,"(608733.0872, 3742066.8395000007)",30-005-00471,SalineSE,No known issues,Rustler,LDockum,3835.0
